Year,area,Live_anim,item,feedtype,ft,Intake_DM,Intake,Supply,Loss,Loss_share
1996,Norway,"Chickens, layers",Soyabean Cake,crops,crops,5327.83753918426,6054.36083998211,6727.06759998012,672.706759998012,0.1
2002,"China, Taiwan",Geese,"Oilseed Cakes, Other",crops,crops,377.813121336101,420.29827162633,574.553247264275,154.254975637946,0.268478119952203
2011,"China, Taiwan",Geese,Cottonseed,crops,crops,8.95589261941115,9.73466589066429,12.3836043552268,2.64893846456251,0.213906903723427
2016,Nigeria,"Cattle, dairy","Oilseed Cakes, Other",crops,crops,2060.23312572311,2291.90669404629,5676.64764290517,3384.74094885888,0.596257009731654
1990,Mexico,"Cattle, non-dairy",Milk - Excluding Butter,animals,animals,32105.5149808278,269794.243536368,299771.381707076,29977.1381707076,0.1
1978,Belgium-Luxembourg,Sheep,Peas,crops,crops,2.5535877548989703e-15,2.7872524157529307e-15,3.0969471286143604e-15,3.09694712861436e-16,0.1
1989,Japan,Pigs,Other crop residues,residues,residues,4577243.36246839,5087710.29544468,7284800.47856629,2197090.18312161,0.301599225618602
2012,Papua New Guinea,"Cattle, dairy",DDGS Barley,crops,crops,1.35609452532527e-17,1.47561972287843e-17,1.63957746986492e-17,1.63957746986492e-18,0.1
1989,Algeria,"Cattle, non-dairy",Groundnut Cake,crops,crops,72.1888774019974,79.1544708355234,87.9494120394705,8.79494120394705,0.1
1996,Norway,Turkeys,DDGS Barley,crops,crops,134.972007019272,146.868342784845,163.187047538716,16.3187047538716,0.1
2003,Malta,"Chickens, broilers",Oats,crops,crops,96.7951410149739,111.600854360078,124.000949288975,12.4000949288975,0.1
